,GSM8K,SVAMP,MultiArith,ASDiv,AQUA,saycan,StrategyQA,date,sports,CLUTRR
codex_NL+SL,72.2,83.5,98.8,80.2,47.2,89.3,63.0,81.6,99.1,58.9
codex_NL+SL_n:40,79.9,88.8,99.2,84.4,61.4,94.2,65.2,85.5,99.0,71.9
codex_NL+SL_exemplarset1,72.6,,,,,91.3,,81.3,,59.0
codex_NL+SL_exemplarset2,71.1,,,,,85.4,,85.0,,57.2
codex_NL+SL_exemplarset3,72.3,,,,,88.3,,82.5,,58.0
codex_NL+SL_exemplarset4,71.2,,,,,88.3,,77.4,,55.5
codex_NL+SL_exemplarset5,71.5,,,,,89.3,,85.0,,56.0
codex_prompt_variation1,69.1,,,,,88.3,,84.4,,
codex_prompt_variation2,70.2,,,,,90.3,,81.6,,56.2
codex_prompt_variation3,70.1,,,,,87.4,,80.5,,55.9
codex_norationale,75.4,,,,,,,83.0,,51.8
codex_noNLbutnudge,73.3,,,,,,,80.2,,39.6
codex_nosolver,21.4,,,,,90.3,,57.9,,40.9
codex_noNL,72.7,,,,,90.3,,79.7,,9.3
text001,,,,,,,,,,17.3
text002,62.6,,,,,84.5,,76.6,,43.9
text003,71.6,,,,,92.2,,81.9,,39.9
code001,27.2,,,,,67.0,,43.2,,23.4
gpt-3.5-turbo,75.8,,,,,80.6,,73.5,,12.1
gpt4,95.0,,,,,92.2,,95.8,,62.7
